Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
13251,1,2,1,2,4,2,0,2,2,0,2,5
13252,0,4,0,0,0,4,1,0,5,1,4,6
13253,0,0,0,0,1,4,1,1,5,1,0,6
13254,1,2,5,2,4,6,0,2,3,0,2,0
13255,0,0,0,0,1,6,1,1,3,1,0,0
13256,0,0,5,0,1,4,1,1,5,1,0,6
13257,1,2,1,2,4,2,0,2,2,0,2,5
13258,1,2,1,2,4,2,0,2,2,0,2,5
13259,1,2,1,2,4,2,0,2,2,0,2,5
13260,1,0,5,2,1,6,0,1,3,0,0,0
13261,1,2,1,2,4,2,0,2,2,0,2,5
13262,1,2,1,2,4,2,0,2,2,0,2,5
13263,1,2,5,2,4,6,0,2,3,0,2,0
13264,1,0,5,2,1,6,0,1,3,0,0,0
13265,0,0,0,0,1,4,1,1,5,1,0,6
13266,0,0,0,0,1,4,1,1,5,1,0,6
13267,1,0,5,2,1,6,0,1,3,0,0,0
13268,1,2,1,2,4,2,0,2,2,0,2,5
13269,1,2,1,2,4,2,0,2,2,0,2,5
13270,1,2,1,2,4,2,0,2,2,0,2,5
13271,1,3,5,2,2,6,0,3,3,0,1,0
13272,1,3,6,2,2,5,0,3,0,0,1,2
13273,1,2,1,2,4,2,0,2,2,0,2,5
13274,1,3,1,2,2,5,0,3,0,0,1,2
13275,1,3,6,2,2,5,0,3,0,0,1,2
13276,1,3,6,2,2,5,0,3,0,0,1,2
13277,0,3,6,0,2,5,1,3,0,1,1,2
13278,0,0,0,0,0,4,1,0,5,1,4,6
13279,0,4,0,0,0,4,1,0,5,1,4,6
13280,0,0,0,0,0,4,1,0,5,1,4,6
13281,0,4,0,0,0,4,1,0,5,1,4,6
13282,0,0,0,0,1,4,1,1,5,1,0,6
13283,1,3,6,2,2,5,0,3,0,0,1,2
13284,1,3,6,2,2,5,0,3,0,0,1,2
13285,1,3,5,2,4,6,0,2,3,0,2,0
13286,1,3,6,2,2,5,0,3,0,0,1,2
13287,1,3,6,2,2,5,0,3,0,0,1,2
13288,0,0,0,0,1,5,1,1,0,1,0,6
13289,1,3,6,2,2,5,0,3,0,0,1,2
13290,1,3,6,2,2,5,0,3,0,0,1,2
13291,1,0,5,2,2,6,0,3,3,0,1,0
13292,0,0,0,0,1,6,1,1,3,1,0,0
13293,0,0,5,0,1,6,1,1,3,1,0,0
13294,0,0,0,0,1,4,1,1,5,1,0,6
13295,2,1,3,1,0,1,2,0,6,2,4,1
13296,2,1,3,1,3,1,2,4,6,2,3,1
13297,0,4,3,1,0,1,2,0,6,2,4,1
13298,0,4,3,1,0,1,2,0,6,2,3,1
13299,0,0,0,0,1,4,1,1,5,1,0,6
13300,0,0,0,1,0,4,2,0,5,2,4,6
13301,0,4,3,1,0,1,2,0,6,2,4,1
13302,0,0,0,0,0,4,1,1,5,1,0,6
13303,0,0,0,0,1,4,1,1,5,1,0,6
13304,0,4,0,0,0,4,1,0,5,1,4,6
13305,0,4,3,0,0,4,1,0,5,1,4,6
13306,2,4,3,1,0,1,2,0,6,2,4,1
13307,2,1,2,1,3,3,2,4,4,2,3,4
13308,2,1,3,1,3,1,2,4,6,2,3,1
13309,2,4,3,1,3,1,2,4,6,2,3,1
13310,0,4,0,0,0,4,1,0,5,1,4,6
13311,0,4,3,0,0,4,1,0,5,1,4,6
13312,0,4,0,0,0,4,1,0,5,1,4,6
13313,2,4,3,0,0,1,1,0,6,1,4,1
13314,2,1,2,1,3,3,2,4,4,2,3,4
13315,2,1,2,1,3,3,2,4,4,2,3,4
13316,2,1,2,1,3,3,2,4,4,2,3,4
13317,2,1,2,1,3,3,2,4,4,2,3,4
13318,2,1,3,1,3,1,2,4,6,2,3,1
13319,2,1,3,1,3,1,2,4,6,2,3,1
13320,2,1,3,1,3,1,2,0,6,2,4,1
13321,0,0,0,0,1,4,1,1,5,1,0,6
13322,0,0,0,0,1,4,1,1,5,1,0,6
13323,0,4,3,0,0,1,1,0,6,1,4,1
