Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
20825,0,2,6,1,0,0,0,2,0,0,2,0
20826,0,2,6,1,4,0,0,0,0,0,0,0
20827,2,2,2,2,0,3,2,2,4,2,2,4
20828,2,4,0,2,3,5,2,4,1,2,4,1
20829,2,4,2,2,3,5,2,4,1,2,4,1
20830,2,4,2,2,0,3,2,2,4,2,2,4
20831,2,2,2,2,0,3,2,2,4,2,2,4
20832,2,2,2,2,0,3,2,2,4,2,2,4
20833,2,2,6,1,0,3,2,2,4,2,2,4
20834,0,2,6,1,0,0,0,2,0,0,2,0
20835,2,2,2,1,0,3,0,2,4,0,2,4
20836,2,4,0,2,3,5,2,4,1,2,4,1
20837,2,2,6,1,0,3,0,2,4,0,2,4
20838,0,2,6,1,0,0,0,0,0,0,0,0
20839,2,2,6,1,0,0,0,2,0,0,2,0
20840,1,4,0,2,3,5,2,4,1,2,4,1
20841,1,0,0,0,1,1,1,1,2,1,1,2
20842,1,0,0,0,1,1,1,1,2,1,1,2
20843,1,0,4,0,1,1,1,1,2,1,1,2
20844,1,0,4,0,1,1,1,1,2,1,1,2
20845,1,4,0,0,3,5,1,4,1,1,4,1
20846,2,4,0,2,3,5,2,4,1,2,4,1
20847,1,4,0,0,3,5,1,4,1,1,4,1
20848,1,4,0,0,3,5,1,4,1,1,4,1
20849,2,2,6,2,0,3,2,2,4,2,2,4
20850,2,2,6,1,0,3,0,2,4,0,2,4
20851,2,2,2,2,0,3,2,2,4,2,2,4
20852,2,2,6,1,0,3,0,2,4,0,2,4
20853,0,3,6,1,4,0,0,0,0,0,0,0
20854,0,3,1,1,4,0,0,0,0,0,0,0
20855,0,3,1,1,4,0,0,0,0,0,0,0
20856,0,3,1,1,4,0,0,0,0,0,0,0
20857,0,3,1,1,4,0,0,0,0,0,0,0
20858,0,3,1,1,4,0,0,0,0,0,0,0
20859,0,3,6,1,4,0,0,0,0,0,0,0
20860,0,2,6,1,0,0,0,2,0,0,2,0
20861,2,2,6,2,0,3,2,2,4,2,2,4
20862,2,4,2,2,0,3,2,2,4,2,2,4
20863,2,2,2,2,0,3,2,2,4,2,2,4
20864,2,4,2,2,3,3,2,2,4,2,2,4
20865,2,4,0,2,3,5,2,4,1,2,4,1
20866,2,4,2,2,3,5,2,4,1,2,4,1
20867,2,4,0,2,3,5,2,4,1,2,4,1
20868,1,4,0,0,3,5,2,4,1,2,4,1
20869,1,4,0,0,3,5,1,4,1,1,4,1
20870,1,4,0,0,3,5,2,4,1,2,4,1
20871,2,4,2,2,0,3,2,2,4,2,2,4
20872,2,4,2,2,0,3,2,2,4,2,2,4
20873,2,4,0,2,3,5,2,4,1,2,4,1
20874,2,4,2,2,3,5,2,4,1,2,4,1
20875,2,4,2,2,3,3,2,4,1,2,4,1
20876,2,4,2,2,3,5,2,4,1,2,4,1
20877,2,4,0,2,3,5,2,4,1,2,4,1
20878,2,2,2,2,3,3,2,4,4,2,4,4
20879,0,2,6,1,0,3,0,2,4,0,2,4
20880,0,3,1,1,4,0,0,0,0,0,0,0
20881,0,3,1,1,4,0,0,0,0,0,0,0
20882,0,3,6,1,4,0,0,0,0,0,0,0
20883,0,3,1,1,4,0,0,0,0,0,0,0
20884,0,3,1,1,4,6,0,0,6,0,0,6
20885,0,2,6,1,0,3,0,2,4,0,2,4
20886,0,2,6,1,0,0,0,2,0,0,2,0
20887,0,3,6,1,4,0,0,0,0,0,0,0
20888,0,2,6,1,4,0,0,0,0,0,0,0
20889,0,2,6,1,4,0,0,0,0,0,0,0
20890,0,2,6,1,0,0,0,2,0,0,2,0
20891,0,2,6,1,0,0,0,2,0,0,2,0
20892,0,2,6,1,0,0,0,2,0,0,2,0
