Pixel,K_3_0,K_5_0,K_7_0,K_3_25,K_5_25,K_7_25,K_3_50,K_5_50,K_7_50,K_3_100,K_5_100,K_7_100
361,1,3,4,2,0,4,2,1,0,2,4,4
362,1,3,4,2,0,4,2,1,0,2,4,4
363,1,3,4,2,0,4,2,1,0,2,4,4
364,2,2,4,2,4,6,2,3,2,2,2,2
365,2,2,6,2,4,6,2,3,2,2,2,2
366,2,2,6,2,4,6,2,3,2,2,2,2
367,2,2,6,2,4,6,2,3,2,2,2,2
368,2,2,6,2,4,6,2,3,2,2,2,2
369,1,3,4,2,0,4,2,1,0,2,4,4
370,1,3,4,2,0,4,2,1,0,2,4,4
371,2,3,4,2,0,4,2,1,0,2,4,4
372,2,2,4,2,4,6,2,3,2,2,2,2
373,2,2,6,2,4,6,2,3,2,2,2,2
374,2,2,4,2,4,6,2,3,2,2,2,2
375,2,2,4,2,4,6,2,3,2,2,2,2
376,2,2,6,2,4,6,2,3,2,2,2,2
377,2,2,6,2,4,6,2,3,2,2,2,2
378,2,2,6,2,4,6,2,3,2,2,2,2
379,2,2,6,2,4,6,2,3,2,2,2,2
380,2,3,4,2,0,4,2,3,2,2,2,2
381,2,3,4,2,0,4,2,1,2,2,2,2
382,2,2,4,2,4,6,2,3,2,2,2,2
383,1,3,3,2,0,4,2,1,0,2,4,4
384,2,3,4,2,0,6,2,3,2,2,2,2
385,2,2,6,2,4,6,2,3,2,2,2,2
386,2,3,4,2,0,4,2,1,2,2,4,2
387,1,3,3,2,0,4,2,1,0,2,4,4
388,2,3,4,2,0,4,2,1,0,2,4,4
389,1,3,4,2,0,4,2,1,0,2,4,4
390,2,3,4,2,0,4,2,3,2,2,2,2
391,2,3,4,2,0,4,2,3,0,2,2,4
392,1,3,4,2,0,4,2,1,0,2,4,4
393,2,3,4,2,0,4,2,3,0,2,4,4
394,2,2,4,2,4,6,2,3,2,2,2,2
395,2,2,4,2,4,6,2,3,2,2,2,2
396,1,3,4,2,0,4,2,1,0,2,4,4
397,1,3,3,2,0,4,1,1,0,1,4,4
398,1,3,4,2,0,4,2,1,0,2,4,4
399,2,2,4,2,4,6,2,3,2,2,2,2
400,1,3,3,2,0,4,2,1,0,2,4,4
401,1,4,0,0,2,0,1,4,5,1,1,5
402,1,3,3,2,0,4,2,1,0,2,4,4
403,2,3,4,2,0,4,2,1,0,2,4,4
404,2,2,4,2,4,6,2,3,2,2,2,2
405,2,3,4,2,0,6,2,3,2,2,2,2
406,1,3,4,2,0,4,2,1,0,2,4,4
407,1,3,4,2,0,4,2,1,0,2,4,4
408,1,3,4,2,0,4,2,1,0,2,4,4
409,1,3,3,2,0,4,2,1,0,2,4,4
410,1,3,3,2,0,4,2,1,0,2,4,4
411,1,3,3,2,0,4,2,1,0,1,4,4
412,1,3,3,2,0,4,1,1,0,1,4,4
413,1,3,3,2,0,4,2,1,0,2,4,4
414,1,3,3,2,0,4,2,1,0,2,4,4
415,1,3,3,2,0,4,2,1,0,2,4,4
416,1,3,3,2,0,4,1,1,0,1,4,4
417,1,3,3,2,0,4,1,1,0,1,4,4
418,1,3,3,2,0,4,1,1,0,1,4,4
419,1,3,3,2,0,4,1,1,0,1,4,4
420,1,3,3,2,0,4,2,1,0,2,4,4
421,1,3,4,2,0,4,2,1,0,2,4,4
422,1,3,4,2,0,4,2,1,0,2,4,4
423,1,3,4,2,0,4,2,1,0,2,4,4
424,1,3,4,2,0,4,2,1,0,2,4,4
425,2,2,6,2,4,6,2,3,2,2,2,2
426,2,2,6,2,4,6,2,3,2,2,2,2
427,2,2,6,2,4,6,2,3,2,2,2,2
428,2,2,6,2,4,6,2,3,2,2,2,2
429,2,2,4,2,4,6,2,3,2,2,2,2
430,1,3,4,2,0,4,2,1,0,2,4,4
431,2,3,4,2,0,4,2,1,0,2,4,4
432,2,3,4,2,4,6,2,3,2,2,2,2
433,2,2,6,2,4,6,2,3,2,2,2,2
434,2,2,6,2,4,6,2,3,2,2,2,2
435,2,2,6,2,4,6,2,3,2,2,2,2
436,2,2,6,2,4,6,2,3,2,2,2,2
437,2,2,6,2,4,6,2,3,2,2,2,2
438,2,2,6,2,4,6,2,3,2,2,2,2
439,2,2,6,2,4,6,2,3,2,2,2,2
440,2,2,6,2,4,6,2,3,2,2,2,2
441,2,2,6,2,4,6,2,3,2,2,2,2
442,2,2,4,2,4,6,2,3,2,2,2,2
443,1,3,3,2,0,4,2,1,0,2,4,4
444,2,3,4,2,0,4,2,3,2,2,2,2
445,2,2,4,2,4,6,2,3,2,2,2,2
446,1,3,3,2,0,4,2,1,0,2,4,4
447,1,3,3,2,0,4,2,1,0,2,4,4
448,2,3,4,2,0,4,2,1,0,2,4,4
449,2,2,4,2,4,6,2,3,2,2,2,2
450,2,2,4,2,4,6,2,3,2,2,2,2
451,2,2,4,2,4,6,2,3,2,2,2,2
452,2,3,4,2,4,6,2,3,2,2,2,2
453,2,2,4,2,4,6,2,3,2,2,2,2
454,2,3,4,2,0,4,2,3,2,2,2,2
455,2,2,4,2,4,6,2,3,2,2,2,2
456,2,2,4,2,4,6,2,3,2,2,2,2
457,2,2,4,2,4,6,2,3,2,2,2,2
458,2,3,4,2,0,4,2,1,0,2,4,4
459,2,2,4,2,4,6,2,3,2,2,2,2
460,2,2,4,2,4,6,2,3,2,2,2,2
461,2,2,4,2,4,6,2,3,2,2,2,2
462,1,3,3,2,0,4,2,1,0,2,4,4
463,1,3,3,2,0,4,2,1,0,2,4,4
464,1,3,4,2,0,4,2,1,0,2,4,4
465,1,3,3,2,0,4,2,1,0,2,4,4
466,1,4,0,0,2,0,1,4,5,1,1,5
467,1,4,3,0,2,5,1,4,0,1,1,4
468,1,3,4,2,0,4,2,1,0,2,4,4
469,2,2,4,2,4,6,2,3,2,2,2,2
470,2,3,4,2,0,4,2,1,0,2,4,4
471,1,3,4,2,0,4,2,1,0,2,4,4
472,1,3,3,2,0,4,2,1,0,2,4,4
473,1,3,3,2,0,4,2,1,0,2,4,4
474,1,3,3,2,0,4,2,1,0,2,4,4
475,1,3,3,2,0,4,2,1,0,2,4,4
476,1,3,3,2,0,4,2,1,0,2,4,4
477,1,3,3,2,0,4,1,1,0,1,4,4
478,1,3,3,2,0,4,2,1,0,1,4,4
479,1,3,3,2,0,4,2,1,0,2,4,4
480,1,3,3,2,0,4,2,1,0,2,4,4
481,1,3,3,2,0,4,1,1,0,1,4,4
482,1,3,3,2,0,4,1,1,0,1,4,4
483,1,3,3,2,0,4,1,1,0,1,4,4
484,1,3,3,2,0,4,1,1,0,1,4,4
485,1,3,3,2,0,4,1,1,0,1,4,4
486,1,3,3,2,0,4,2,1,0,2,4,4
487,1,3,3,2,0,4,2,1,0,1,4,4
488,1,3,3,2,0,4,2,1,0,1,4,4
489,1,3,4,2,0,4,2,1,0,2,4,4
490,2,3,4,2,4,6,2,3,2,2,2,2
491,2,2,6,2,4,6,2,3,2,2,2,2
492,2,2,6,2,4,6,2,3,2,2,2,2
493,2,2,6,2,4,6,2,3,2,2,2,2
494,2,2,6,2,4,6,2,3,2,2,2,2
495,2,2,4,2,4,6,2,3,2,2,2,2
496,2,2,4,2,4,6,2,3,2,2,2,2
497,1,3,4,2,0,4,2,1,0,2,4,4
498,2,3,4,2,0,4,2,3,2,2,2,2
499,2,2,4,2,4,6,2,3,2,2,2,2
500,2,2,6,2,4,6,2,3,2,2,2,2
