Algorithm,Date 1,Date 2,Date 3,Error,K,MAE,Mask,Pairs,Predicted Date,RMSE,R^2,Region,Type,W,correlation,method,signal
ESTARFM,20170710,20170912,,-0.01382128,8,0.028763121,None,,20170811,0.050631256,0.920978967,BGL,Original,9,0.965555957,,Reflectance
ESTARFM,20170726,20170827,,-0.013438544,4,0.020349719,None,,20170811,0.026618151,0.964292719,Santar,Original,3,0.98655662,,NDVI
ESTARFM,20170726,20170827,,-0.01348152,6,0.020525749,None,,20170811,0.026826859,0.963730573,Santar,Original,3,0.986298184,,NDVI
ESTARFM,20170726,20170827,,-0.013513633,8,0.020580145,None,,20170811,0.02699081,0.963285901,Santar,Original,3,0.986090835,,NDVI
ESTARFM,20170726,20170827,,-0.013448899,4,0.020406981,None,,20170811,0.02678558,0.963842106,Santar,Original,5,0.986342465,,NDVI
ESTARFM,20170726,20170827,,-0.013524959,6,0.020586973,None,,20170811,0.027033868,0.96316867,Santar,Original,5,0.986042192,,NDVI
ESTARFM,20170726,20170827,,-0.013505648,8,0.020596667,None,,20170811,0.027062985,0.963089287,Santar,Original,5,0.985995531,,NDVI
ESTARFM,20170726,20170827,,-0.013462935,4,0.020397065,None,,20170811,0.026818531,0.96375309,Santar,Original,7,0.986298927,,NDVI
ESTARFM,20170726,20170827,,-0.01350709,6,0.02053884,None,,20170811,0.027010288,0.963232894,Santar,Original,7,0.986058342,,NDVI
ESTARFM,20170726,20170827,,-0.01352915,8,0.020531522,None,,20170811,0.027007764,0.963239766,Santar,Original,7,0.986082075,,NDVI
ESTARFM,20170726,20170827,,-0.013481377,4,0.02039485,None,,20170811,0.026852298,0.963661756,Santar,Original,9,0.986260372,,NDVI
ESTARFM,20170726,20170827,,-0.013542085,6,0.020505977,None,,20170811,0.026994992,0.963274524,Santar,Original,9,0.98610214,,NDVI
ESTARFM,20170726,20170827,,-0.01350921,8,0.020514303,None,,20170811,0.026970056,0.96334234,Santar,Original,9,0.986112747,,NDVI
ESTARFM,20170726,20170827,,-0.012006051,4,0.021483038,None,,20170811,0.048990568,0.879044401,Santar,Original,3,0.945593289,,Reflectance
ESTARFM,20170726,20170827,,-0.012721362,6,0.021253325,None,,20170811,0.040494885,0.917357894,Santar,Original,3,0.961545033,,Reflectance
ESTARFM,20170726,20170827,,-0.012489308,8,0.021468274,None,,20170811,0.0442154,0.901474614,Santar,Original,3,0.954017133,,Reflectance
ESTARFM,20170726,20170827,,-0.012748246,4,0.020615729,None,,20170811,0.03175573,0.949178762,Santar,Original,5,0.978665323,,Reflectance
ESTARFM,20170726,20170827,,-0.012871285,6,0.020612957,None,,20170811,0.029080953,0.957379523,Santar,Original,5,0.982771256,,Reflectance
ESTARFM,20170726,20170827,,-0.012758001,8,0.020847847,None,,20170811,0.032456912,0.946909669,Santar,Original,5,0.975731479,,Reflectance
ESTARFM,20170726,20170827,,-0.012775182,4,0.020528118,None,,20170811,0.029700711,0.955543555,Santar,Original,7,0.981801563,,Reflectance
